business_id,date,stars,ambiance,environment,atmosphere,dirty,filthy,counter,seat,music,wifi,window,floor,decor,door,table,clean,trash,gloves,disgusting,mess,parking
GA82Hdfv2me7IYm4ojbzcg,2018-04-04 00:27:30,5.0,,,,,,,,,,,,,,,,,,,,
Hhc8Ix8sygBjqFbiO1c1TQ,2012-07-16 01:40:44,4.0,,,,,,,,,,,,,,,,,,,,
wv314cvTXt7-0dr0SpCQAw,2018-08-04 20:24:02,1.0,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2015-08-06 20:50:47,2.0,,,,,,,,,,,,,,-0.3818,,,,,,
HaKhksuFqOkKNY2_AZvPuQ,2016-06-11 21:35:07,4.0,,,,,,,,,,,,,,,0.4019,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-05-19 04:33:45,2.0,,,,,,,,,,,,,,,,,,,,
_dx-TZFpEiHBHVuB8m1_gg,2015-10-17 01:13:10,2.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2016-05-19 14:39:17,3.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2015-07-28 16:24:42,1.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2010-11-23 02:46:48,4.0,,,,,,,,,,,,,,,0.7096,,,,,-0.6249
GA82Hdfv2me7IYm4ojbzcg,2017-11-06 17:20:43,5.0,,,,,,,,,,,,,,,,,,,,0.5719
BSgn3PhOghLhyw00hdiQyQ,2015-08-19 06:39:17,3.0,,,,,,,,,,,,,,,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2015-11-18 18:41:07,5.0,,,,,,,,,,,,,,,,,,,,
6bT3RIGhz5mCjyiJV5wfgQ,2017-01-14 23:55:26,3.0,,,,,,,,,,,,,,,,,,-0.5267,,
Z6W09yz3d_FU1VQubdd43w,2015-07-28 14:57:23,5.0,,,,,,,,0.8104,,,,,,,0.4019,,,,,
ho0rwUdiR615Tk1FAb5FrQ,2017-03-15 12:34:41,4.0,,,,,,,,,,,,,,0.4019,0.4019,,,,,
ducP3kcdUYG3anaB8QGByQ,2017-12-16 05:01:32,3.0,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2013-07-13 06:27:56,5.0,,,,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-08-04 03:34:56,4.0,,,,,,,,,,,,,,,,,,,,
ZSBqiuAgWLyV8lRJgDAARw,2015-05-26 20:45:47,3.0,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2016-03-07 03:40:16,5.0,,,,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2017-01-02 04:20:30,5.0,,,,,,,,,,,,,,,,,,,,
ZSBqiuAgWLyV8lRJgDAARw,2015-03-18 19:40:49,1.0,,,,-0.4404,,,,,,,,,,,,,,,,
44lWPwdBCOU9nsApE9FbRA,2011-02-13 15:29:53,5.0,,,,,,,0.34,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2015-04-28 18:17:57,1.0,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2016-08-13 03:41:42,1.0,,,,,,,,,,,,,,,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2017-06-17 23:25:27,5.0,,,,,,,,,,,,,,0.7184,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2016-08-25 19:20:29,1.0,,,,,,,,,,,,,,,,,,,,
44lWPwdBCOU9nsApE9FbRA,2014-08-25 06:26:58,2.0,,,,,,,,,,,,,,,,,,,,-0.1531
BSgn3PhOghLhyw00hdiQyQ,2012-06-26 20:31:49,5.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2016-11-10 15:53:33,1.0,,,,,,,,,,,,,,,,,,,,
ZSBqiuAgWLyV8lRJgDAARw,2018-02-11 15:46:28,4.0,,,,,,,,,,,,,0.0772,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2014-08-11 02:17:35,2.0,,,,,,,,,,,,,,,,,,,,
_dx-TZFpEiHBHVuB8m1_gg,2018-04-16 00:22:28,4.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2012-12-05 00:14:24,5.0,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2007-05-24 17:18:20,1.0,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2013-10-03 15:35:42,1.0,,,,,,,,,,,,,,,,,,,,
KpdYtK2KtLxEzYNW38XKZQ,2016-08-04 18:31:45,1.0,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2015-01-19 02:20:13,1.0,,,,,,,,,,,,,,,,,,,,
NIE_VL7oTdX0J9U0jxidLQ,2015-09-10 00:40:11,4.0,,,,,,,,,,,,,,,,,,,,0.4404
Y6MHlJ9U1rBNRf5BkyDTKw,2014-12-18 03:20:02,5.0,,,,,,,,,,,,,,,,,,,,
_dx-TZFpEiHBHVuB8m1_gg,2015-12-05 17:55:56,4.0,,,,,,,,,,,,,,,0.1779,,,,,
j_auWfMqHcOi6DiYg-RxLA,2017-07-29 04:50:56,5.0,,,,,,,,,,,,,,,,,,,,
HaKhksuFqOkKNY2_AZvPuQ,2018-03-16 15:32:55,3.0,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2014-01-18 21:07:05,5.0,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2016-04-12 03:20:50,1.0,,,,,,,,,,,,,,,,,,,,
1DqH1jYITwUvlVut_YBApg,2017-11-14 18:18:20,4.0,,,,,,,,,,,,,,,,,,,,
KpdYtK2KtLxEzYNW38XKZQ,2017-12-17 17:02:35,1.0,,,,,,,,,,,,,,,,,,,,
NIE_VL7oTdX0J9U0jxidLQ,2012-03-30 18:06:24,4.0,,,,,,,,,,,,,,,,,,,,
X-tmOCfQ4y_c64xjtNN3ug,2012-05-29 18:03:44,4.0,,,,,,,,,,,,,,0.5106,,,,,,
44lWPwdBCOU9nsApE9FbRA,2015-09-10 00:11:40,1.0,,,,,,,,,,,,,,,,,,,-0.3612,
