business_id,date,stars,black,guac,fresh,water,cilantro,ingredient,corn,salsa,cooked,bowl,meal,tortilla,taste,amount,beans,veggie,salty,cheese,portion,taco,meat,lettuce,rice,lunch,sour cream,delicious,chicken,salad,size,scoop,burrito,chips,sauce,steak,stale,food
GA82Hdfv2me7IYm4ojbzcg,2018-04-04 00:27:30,5.0,,0.52645,0.3804,0.5719,,,,,,,,,-0.1877,0.8126,,,,,,,,,,,,,,,0.5719,,,,,,,
Hhc8Ix8sygBjqFbiO1c1TQ,2012-07-16 01:40:44,4.0,,,,,,,,,,0.4588,,,0.8074,,,,,,,,,,,,,,,,,,0.4588,,,,,0.6249
wv314cvTXt7-0dr0SpCQAw,2018-08-04 20:24:02,1.0,-0.2732,,,,,,,,,-0.2732,,,,,-0.2732,,,,,,,,,,,,,,,,0.718,,,,,
BSgn3PhOghLhyw00hdiQyQ,2015-08-06 20:50:47,2.0,,,,,,,,,,,,,,,,,,,,,-0.128,,,,,,,,,,,,,,,
HaKhksuFqOkKNY2_AZvPuQ,2016-06-11 21:35:07,4.0,,,,,,,,,,,,,,,,,,,0.2263,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-05-19 04:33:45,2.0,,,,,,,,,,,0.3612,,-0.0516,,,,,,,,,,,,,,,,,,,,,,,-0.0516
_dx-TZFpEiHBHVuB8m1_gg,2015-10-17 01:13:10,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2016-05-19 14:39:17,3.0,,,,,,,,0.5106,,,,,,,,,,,,,,,,0.4404,,,,,0.4404,,,0.5106,,,,
j_auWfMqHcOi6DiYg-RxLA,2015-07-28 16:24:42,1.0,,,,,,,,,,,,,,,,,,,,,,,-0.6124,,,,,,,,,,,,,-0.2263
j_auWfMqHcOi6DiYg-RxLA,2010-11-23 02:46:48,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2017-11-06 17:20:43,5.0,,-0.2044,,,,,,,,,,,,,,,,,,0.6369,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2015-08-19 06:39:17,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2015-11-18 18:41:07,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bT3RIGhz5mCjyiJV5wfgQ,2017-01-14 23:55:26,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2015-07-28 14:57:23,5.0,,,,,,,,,,0.6249,,,,,,,,,,,,,,0.71065,,,,,,,0.6249,,,0.54705,,0.6249
ho0rwUdiR615Tk1FAb5FrQ,2017-03-15 12:34:41,4.0,,0.3804,0.56915,,,,,,,,,,,0.6808,,,,,,,,,,,,,,,,,,,,,,0.56915
ducP3kcdUYG3anaB8QGByQ,2017-12-16 05:01:32,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2013-07-13 06:27:56,5.0,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-08-04 03:34:56,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSBqiuAgWLyV8lRJgDAARw,2015-05-26 20:45:47,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2016-03-07 03:40:16,5.0,,,,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,0.7845,,,,,0.4215
GA82Hdfv2me7IYm4ojbzcg,2017-01-02 04:20:30,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5719
ZSBqiuAgWLyV8lRJgDAARw,2015-03-18 19:40:49,1.0,,,,,,-0.5423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44lWPwdBCOU9nsApE9FbRA,2011-02-13 15:29:53,5.0,,,0.4767,,,,,,,,0.7184,,,,0.5574,,,,,0.5574,,,0.5574,,,,0.5574,,0.3612,,,,,,,0.41895000000000004
j_auWfMqHcOi6DiYg-RxLA,2015-04-28 18:17:57,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2016-08-13 03:41:42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0772,,0.0993,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2017-06-17 23:25:27,5.0,,,0.3182,,,,,,0.6908,,0.5045,,,,,,,,,,0.5994,,,,,,,,,,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2016-08-25 19:20:29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44lWPwdBCOU9nsApE9FbRA,2014-08-25 06:26:58,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2023
BSgn3PhOghLhyw00hdiQyQ,2012-06-26 20:31:49,5.0,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,0.7269,,,,,,,,,,0.3182
j_auWfMqHcOi6DiYg-RxLA,2016-11-10 15:53:33,1.0,,,,,,,,0.296,,,,,,0.296,,,,,,,,,,,,,,,,,,,,,,0.3612
ZSBqiuAgWLyV8lRJgDAARw,2018-02-11 15:46:28,4.0,,,0.3182,,,,,,,0.0772,,,,,,,,,,,,,0.0772,,,,,,,,,,,,,0.0772
BSgn3PhOghLhyw00hdiQyQ,2014-08-11 02:17:35,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7003
_dx-TZFpEiHBHVuB8m1_gg,2018-04-16 00:22:28,4.0,,,,,,,,,,0.8301,,,,,,,,,,,,,,,,,,0.8769,,,0.8301,,,,,
j_auWfMqHcOi6DiYg-RxLA,2012-12-05 00:14:24,5.0,,,,,,,,,,0.4576,,,,,,,,,,,,,,,,0.5719,0.4404,,,,,,,,,0.50615
j_auWfMqHcOi6DiYg-RxLA,2007-05-24 17:18:20,1.0,,,,,,,,,,,,,,,,,,,,,0.4404,,0.10705,,,,0.3182,,,0.4404,0.3182,0.16885,,,0.4404,
BSgn3PhOghLhyw00hdiQyQ,2013-10-03 15:35:42,1.0,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,0.34,,,,,,
KpdYtK2KtLxEzYNW38XKZQ,2016-08-04 18:31:45,1.0,,,,,,,,,,-0.296,,,,,,,,,,,,,,,,,,,,,,,,,,0.3612
BSgn3PhOghLhyw00hdiQyQ,2015-01-19 02:20:13,1.0,,,,,,,,,,,,,,,,0.49905,,,,,0.6369,,,,,,,,,,,,,,,
NIE_VL7oTdX0J9U0jxidLQ,2015-09-10 00:40:11,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4404
Y6MHlJ9U1rBNRf5BkyDTKw,2014-12-18 03:20:02,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215,,,,,
_dx-TZFpEiHBHVuB8m1_gg,2015-12-05 17:55:56,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8519,,,,,
