0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
 in my order was right but they gave me enough food to feed an African, I ordered for me and  my brother I got enough food to feed all of Angola very pumped,,,,,,,,,,,,,,,,,,
The food will be good,,,,,,,,,,,,,,,,,,,
but as a fast food restaurant you expect your food In a timely,,,,,,,,,,,,,,,,,,,
The food has good,taste bu,,,,,,,,,,,,,,,,,,
only for them to hand me 3 big bags of food,they handed me the food ,I ordered one burrito ,ok not that big a deal but the burrito was not good,you know how sometimes they make the beans like flavorless,I worried the meat was bad,definitely the lettuce/tomatoes had gone bad although I still suspect the meat had to be causing the smell,,,,,,,,,,,,,
food served at the right,My wife's fresco taco had some str,ands of cheese in it,,,,,,,,,,,,,,,,,
I installed yelp and created an account and wrote this review about the time it took to get a taco,all while waiting for my taco,,,,,,,,,,,,,,,,,,
As my food was completed,I ordered a few soft tacos ,,,,,,,,,,,,,,,,,,
barely warm food,,,,,,,,,,,,,,,,,,,
The food came out quick,the food was good,I did not give this establishment five stars because there was nothing in the food that st,three tacos , and cheap and came out good my only problem and the reason I gave this place the rating I did is because one of my tacos had a hair in it ,Once I found the hairs I went up to the very nice and helpful cashier and she happily replaced it and even gave me an extra hard taco for free,,,,,,,,,,,,,,
This place makes no effort to put out decent food, The food is dry, MUCH better food there, They also screw up on the ingredients , and tastes,,,,,,,,,,,,,,,
The food is what it is,the cost comparatively priced to other,,,,,,,,,,,,,,,,,,
With my first bite of my nachos bel grande their was a sticker in my food that I choked on,Dear Taco Bell please pay better attention to what goes in your food,and upon my last bite their was a huge hair covered in meat ,and cheese,,,,,,,,,,,,,,,,
I typically have a decent process of ordering food through this taco bell,,,,,,,,,,,,,,,,,,,
Had tacos bean burrito ,and nachos and its plain garbage taste nothing like tacobell in california or illinois,,,,,,,,,,,,,,,,,,
This tacobell always has really fast,All in all I love this tacobel,,,,,,,,,,,,,,,,,,
Once I received my food,Go somewhere else like Tijuana flats (Tijuana flats had excellent service and food),Since I'm vegetarian I ordered a supreme crunch wrap with substitute beans ,and double checked to make sure she rang it up correctly and then after paying I looked at my receipt and didn't say substitute beans so I clarify with cashier again ,it had meat in it after I bit into it,I saw there was meat ,and spit it out but I triple check with cashier that to make sure there was no meat,,,,,,,,,,,,,
I went through the drive thru with some friends around 11:45pm and it took too long to order and get our food for us being the only,,,,,,,,,,,,,,,,,,,
 Taco Bell is my favorite food ,The food quality is also consistently the best I've ever seen,depending on the age and other factors the food quality can degrade,but every time I visit this Taco Bell the quality of the ingredients seems to be as if they are as fresh,,,,,,,,,,,,,,,,
 Oh and my husband loves the cool ranch dorito tacos,and now the difference between a real taco ,and a bagged taco meat,,,,,,,,,,,,,,,,,
I do not expect Taco Bell to be great food,chips are stale,,,,,,,,,,,,,,,,,,
 The food was good,although we were shorted a taco, The main reason that has me dissatisfied is how little nacho cheese I was given with an order of nachos,,,,,,,,,,,,,,,,,
unfriendly staff (and there's usually a kitchen full of 6+ making food),,,,,,,,,,,,,,,,,,,
It was bachelor food ,Needless to say we thought we had food poisoning ,Maybe one of the workers thought it would be fun to make people trip out or maybe we ate some cleaning fluid from the counter top that got in to our food,I refuse to eat their food ,,,,,,,,,,,,,,,,
I love spicy food,which are basically small burritos, Mild is chipotle,I started with a bite of the chipotle as a baseline,prices are low,beans,a little meat,,,,,,,,,,,,,
amount of time and the food is always mediocre whether it be cold,Every time I come here the food is fresh,good food,at a good price,,,,,,,,,,,,,,,,
Freshly made warm and delicious,,,,,,,,,,,,,,,,,,,
My review used to be 2 stars but then I received this today with some equally skimpy potato soft tacos,,,,,,,,,,,,,,,,,,,
Great customer service and food,Girl at the counter was very polite I think she had red hair and an Ashley made my food ,It was very busy and they were fast and delivered great food,and it was delicious,,,,,,,,,,,,,,,,
Theirs location makes good food,,,,,,,,,,,,,,,,,,,
nor was the bean burrito,the soft chicken taco wasn't too bad,,,,,,,,,,,,,,,,,,
Got home and all my food was cold,Second time they shorted me 1 taco ,,,,,,,,,,,,,,,,,,
they probably pay their staff so little they have very poor quality food ,,,,,,,,,,,,,,,,,,,
The food is pretty,From the time I ordered to the time I got my food,Only thing I'd suggest is that they get the food out faster,,,,,,,,,,,,,,,,,
now I know what that tastes like,,,,,,,,,,,,,,,,,,,
Got home and all my food was cold,Second time they shorted me 1 taco ,,,,,,,,,,,,,,,,,,
only beans,Ended up with a pizza full of meat,,,,,,,,,,,,,,,,,,
You are better off going inside or somewhere else for food,,,,,,,,,,,,,,,,,,,
 I asked to speak to the manager and asked why the 20 to 25 cars that went through the drive through after I ordered got their food first,    As far as food quality it was sub, I agree with the kids that the OC taco bell food is much better, They took my order at 6:11 and 6:38pm I finally got my 4 tacos ,but I do take issue waiting almost 30 minutes for a few tacos while 20+ orders after mine,,,,,,,,,,,,,,,
Generous portions of sour cream if you are looking for that,Food is Taco Bell quality,,,,,,,,,,,,,,,,,,
For example tonight we ordered: 1 Steak XXL GSB no sour no guacamole,Many times they have added the sour cream and guacamole,Also ordered a Crunchwrap with no sour cream ,and well I took a big bite and bit into nothing but sour cream,,,,,,,,,,,,,,,,
It's typical Taco Bell food,,,,,,,,,,,,,,,,,,,
The food is pretty good,But the food is always hot,,,,,,,,,,,,,,,,,,
Since having someone pick through my food to remove the gross,we're out the food ,he began picking through my taco salad to remove the part that wasn't ordered,,,,,,,,,,,,,,,,,
all Taco Bell food is the same,Three cars ahead of me and it took more than 25 minutes to get tacos,,,,,,,,,,,,,,,,,,
I only order the Mexican pizza so this review is less about food ,,,,,,,,,,,,,,,,,,,
 Out of food ,  Never seen so many people waiting so long to get low quality food,  When it takes 15 mins to get a taco ,and taco shells, Low quality isn't their fault since it's Taco Bell ,,,,,,,,,,,,,,,
Today they were out of tortillas for the stuffed burrito,,,,,,,,,,,,,,,,,,,
I give this place four stars because their food is always hot,,,,,,,,,,,,,,,,,,,
all the condiments and food accessories are always stocked ,The food is always hot,Food quality I think is also as good,,,,,,,,,,,,,,,,,
 I'm a picking vegetarian with all beans no meat orders ,,,,,,,,,,,,,,,,,,,
Cold food every time,,,,,,,,,,,,,,,,,,,
I have noticed no portion or quality variance from other,,,,,,,,,,,,,,,,,,,
The food is Taco Bell,Sometimes up to 20 minutes for your food,,,,,,,,,,,,,,,,,,
End up being in there longer than the entire line and the person who orders after me gets their food,Five people standing around and not one mentions wheres this persons food,I literally had three tacos,,,,,,,,,,,,,,,,,
it will still take them 25 minutes to give you a couple tacos,,,,,,,,,,,,,,,,,,,
I ask for soft tacos ,I order chicken ,and I get steak,,,,,,,,,,,,,,,,,
 The food is Taco Bell,,,,,,,,,,,,,,,,,,,
I have a slight taco addiction these days so if it's meat in a shell with cheese,lettuce and sour cream ,,,,,,,,,,,,,,,,,,
20 minutes 5 employees before they would even start on our food then served the window before us,,,,,,,,,,,,,,,,,,,
If you want below average food,The food there is always better ,It's worth the extra 2 min drive to go to the Taco Bell on corner of Morse ,,,,,,,,,,,,,,,,,
Excellent food ,You have to take water from the refreshments machine and it tastes bad,,,,,,,,,,,,,,,,,,
two burritos with no onions,,,,,,,,,,,,,,,,,,,
The food is always great,,,,,,,,,,,,,,,,,,,
from the food to the friendliness ,Don't spend almost an hour waiting for your food - it isn't worth,,,,,,,,,,,,,,,,,,
They got everyone's order correct and the food tasted really good,,,,,,,,,,,,,,,,,,,
Both quesadillas we ordered barely had any cheese inside,Then my 50 cent side of sour cream was half full,I could've just bought a tub of sour cream for 50 cents more,,,,,,,,,,,,,,,,,
fast and the food is so fresh,,,,,,,,,,,,,,,,,,,
The food was good,,,,,,,,,,,,,,,,,,,
but it is not any type of food that Taco Bell serves,unless you like foreign objects in your food,I asked for and paid for extra sour cream on my nachos,I got NO sour cream at all,,,,,,,,,,,,,,,,
 I like the bean burritos without sauce ,,,,,,,,,,,,,,,,,,,
Super friendly drive through staff and one of the best tasting burritos I've ever had from a Taco Bell,,,,,,,,,,,,,,,,,,,
order a number 7 chicken quesadilla ,and practically did not have chicken eat a slice without a piece of chicken inside,,,,,,,,,,,,,,,,,,
This is the Texas of Fast food,,,,,,,,,,,,,,,,,,,
went to the line and made our food ,AND remembered to give us our sauce when he handed the food out the window,,,,,,,,,,,,,,,,,,
The food i have gotten from them is usually lukewarm,For some strange reason it also always tastes,,,,,,,,,,,,,,,,,,
and then rolled into burrito form so exquisitely that it was if they were made by the h,,,,,,,,,,,,,,,,,,,
Be ready to sit in the drive through for an HOUR for a taco post-Disney,,,,,,,,,,,,,,,,,,,
 I ordered the steak quesadilla, The steak quesadilla satisfied my taste buds ,,,,,,,,,,,,,,,,,,
I usually order with beans instead of meat ,,,,,,,,,,,,,,,,,,,
The guy dressing the tacos at 12:00pm THE BUSIEST time of the day was terrible,,,,,,,,,,,,,,,,,,,
They don't mess up on orders and the food is hot,,,,,,,,,,,,,,,,,,,
 Consistently wait a long time for uneven food,everyone in the store was involved because we were stuck in the 7th circle of Hell waiting for our food,,,,,,,,,,,,,,,,,,
The only reason they got 2 stars is because my food was hot,,,,,,,,,,,,,,,,,,,
I have an allergy to dairy so I asked for my breakfast crunch wrap to be made without cheese,When I got home and took a bite of my crunch wrap I got a mouth full of cheese,It's just very upsetting that when you tell them you have an allergy that they don't respect it enough to spend a few extra minutes to just make one without cheese,,,,,,,,,,,,,,,,,
Slowest taco Bell in the entire,,,,,,,,,,,,,,,,,,,
While this TB offers the usual assortment of food that will kill you immediately interspersed with food that will kill you more slowly,they're more suggestive of My Little Pony than they are of fast food tacos,,,,,,,,,,,,,,,,,,
And today I waited for over 15 minutes for my food,,,,,,,,,,,,,,,,,,,
but it did seem to take a LONG time to get my food compared to other,,,,,,,,,,,,,,,,,,,
I was charged for food items by an employee (Rebecca) who neglected to put the items in my bag,  She said she was throwing my food out that was made, The fact that she didn't give me my food the first,,,,,,,,,,,,,,,,,
The chalupa evokes the experience of authentic Mexican food much the way Disney's Pirates of the Caribbean simulates the real,,,,,,,,,,,,,,,,,,,
you may wait longer for your food than if you waited in the drive through,,,,,,,,,,,,,,,,,,,
Fairly consistent service and tasty food,Came with 4 different crunchy tacos,,,,,,,,,,,,,,,,,,
Not once but twice my food was prepared wrong,,,,,,,,,,,,,,,,,,,
Five stars for their great fast service and quality food,We ate there consistently for 10 Nights and no change in quality ,,,,,,,,,,,,,,,,,,
And it can take longer than 10 minutes to get food here,half stuffed burritos ,ALWAYS out of the chicken rolled tacos,and yellow lettuce with a almost frozen cheese are a normal,Always a disappointment when it comes to the quality,,,,,,,,,,,,,,,
I was short a crunchy taco,,,,,,,,,,,,,,,,,,,
A super fun activity is to get your food,,,,,,,,,,,,,,,,,,,
My review used to be 2 stars but then I received this today with some equally skimpy potato soft tacos,,,,,,,,,,,,,,,,,,,
