business_id,date,stars,service,time,attitude,staff,friendly,welcoming,manager,supervisor,helpful,employee,polite,fast,customer,train,rude,wrong,serving,line,girl,guy,experience,cashier,lady,worker,minute,wait,online,ready,slow,am,pm,pickup,hour,management,gloves,hand,app,deliver,missing,card,phone,quick,busy
GA82Hdfv2me7IYm4ojbzcg,2018-04-04 00:27:30,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45274000000000003,,,,,,,,,,,,,
Hhc8Ix8sygBjqFbiO1c1TQ,2012-07-16 01:40:44,4.0,,,,,-0.3612,,,,,-0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,0.4588,,,,,,,
wv314cvTXt7-0dr0SpCQAw,2018-08-04 20:24:02,1.0,,-0.4767,,,,,,,,,,,,,,,,,0.7009,,,,,,,,,,,-0.04703333333333334,,,,,,,-0.4767,,,0.7009,,,
BSgn3PhOghLhyw00hdiQyQ,2015-08-06 20:50:47,2.0,,,,,,,,,,,,,,,,,,-0.3818,,,,,,,,-0.3818,,,,,,,,,,,,,,,,,
HaKhksuFqOkKNY2_AZvPuQ,2016-06-11 21:35:07,4.0,,,,,0.4939,,,,,,,,,,,,,,,,0.4404,,,,,,,,,0.4588,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-05-19 04:33:45,2.0,0.08735,,,,0.2263,,0.3612,,,,,,0.2263,,,-0.4767,,,,,,,,,,,,,,,,,,,,,0.5719,,,,,,
_dx-TZFpEiHBHVuB8m1_gg,2015-10-17 01:13:10,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2016-05-19 14:39:17,3.0,,,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,0.4404,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2015-07-28 16:24:42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j_auWfMqHcOi6DiYg-RxLA,2010-11-23 02:46:48,4.0,,-0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2017-11-06 17:20:43,5.0,,,,,0.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2015-08-19 06:39:17,3.0,,,,,,,,,,,,0.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6MHlJ9U1rBNRf5BkyDTKw,2015-11-18 18:41:07,5.0,,,,0.4215,0.7184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,,,,,
6bT3RIGhz5mCjyiJV5wfgQ,2017-01-14 23:55:26,3.0,,-0.4939,,,,,,,,,,,,,,,,-0.4939,,,,,,,,,-0.4939,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2015-07-28 14:57:23,5.0,,,,,0.7964,,,,,,,,,,,,,,,,,,,0.5994,,,,,,,,,,,,,,,,,,,
ho0rwUdiR615Tk1FAb5FrQ,2017-03-15 12:34:41,4.0,,,,,,,,,0.4215,0.4019,,,,,,,,,0.5423,,,,,,,,,,,0.4805333333333333,,,,,,,,,,0.5462333333333333,,,
ducP3kcdUYG3anaB8QGByQ,2017-12-16 05:01:32,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSgn3PhOghLhyw00hdiQyQ,2013-07-13 06:27:56,5.0,,,,,0.4939,,,,0.7717,0.5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA82Hdfv2me7IYm4ojbzcg,2016-08-04 03:34:56,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSBqiuAgWLyV8lRJgDAARw,2015-05-26 20:45:47,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z6W09yz3d_FU1VQubdd43w,2016-03-07 03:40:16,5.0,0.2732,0.7845,,,0.4939,,,,,-0.2263,,,,,,,,,,,,,,,,,,-0.5423,,0.4215,,,,,,,0.5574,,,,,,
